"filename", "language", "TypeScript", "SCSS", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\state\mainMenu.ts", "TypeScript", 332, 0, 0, 0, 4, 20, 356
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\state\modifyRecordForm.ts", "TypeScript", 75, 0, 0, 0, 0, 10, 85
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\state\notificationList.ts", "TypeScript", 40, 0, 0, 0, 0, 4, 44
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\state\nowLoading.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 8
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\state\offerForm.ts", "TypeScript", 61, 0, 0, 0, 0, 10, 71
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\state\searchConditionSelector.ts", "TypeScript", 35, 0, 0, 0, 0, 11, 46
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\state\searchResult.ts", "TypeScript", 25, 0, 0, 0, 0, 1, 26
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\state\setLanguage.ts", "TypeScript", 29, 0, 0, 0, 0, 2, 31
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\state\settingNewRegulationState\S_InsertingNewCollection.ts", "TypeScript", 119, 0, 0, 0, 0, 6, 125
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\state\settingNewRegulationState\S_SettingRegulationState_AbilityDocViewer.ts", "TypeScript", 117, 0, 0, 0, 0, 8, 125
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\state\settingNewRegulationState\S_SettingRegulationState_CollectionViewer.ts", "TypeScript", 131, 0, 0, 0, 1, 8, 140
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\state\settingNewRegulationState\S_SettingRegulationState_DifficultyDocViewer.ts", "TypeScript", 149, 0, 0, 0, 1, 10, 160
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\state\settingNewRegulationState\S_SettingRegulationState_GameModeDocViewer.ts", "TypeScript", 199, 0, 0, 0, 3, 7, 209
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\state\settingNewRegulationState\S_SettingRegulationState_GameSystemDocViewer.ts", "TypeScript", 155, 0, 0, 0, 1, 8, 164
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\state\settingNewRegulationState\S_SettingRegulationState_TargetDocViewer.ts", "TypeScript", 117, 0, 0, 0, 1, 6, 124
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\state\settingNewRegulationState\Types.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 3
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\state\settingNewRegulationState\utility.ts", "TypeScript", 98, 0, 0, 0, 0, 5, 103
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\state\settingUserInfo.ts", "TypeScript", 151, 0, 0, 0, 0, 3, 154
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\state\termOfUse.json", "JSON", 0, 0, 202, 0, 0, 6, 208
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\state\termOfUse.ts", "TypeScript", 63, 0, 0, 0, 0, 7, 70
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\setting\settings.ts", "TypeScript", 7, 0, 0, 0, 0, 2, 9
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\type\LanguageInApplication.ts", "TypeScript", 2, 0, 0, 0, 1, 0, 3
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\type\api\ValidateFunction.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 2
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\type\api\list\IReceivedDataAtClient_getlist.ts", "TypeScript", 5, 0, 0, 0, 0, 4, 9
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\type\api\list\IReceivedDataAtClient_pickUp.ts", "TypeScript", 5, 0, 0, 0, 0, 3, 8
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\type\api\list\atServer_getlist\IReceivedDataAtServer_getlist_UseId.ts", "TypeScript", 6, 0, 0, 0, 1, 3, 10
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\type\api\list\atServer_getlist\IReceivedDataAtServer_getlist_UseId.validator.ts", "TypeScript", 37, 0, 0, 0, 2, 3, 42
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\type\api\list\atServer_getlist\IReceivedDataAtServer_getlist_UseSIdId.ts", "TypeScript", 7, 0, 0, 0, 0, 4, 11
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\type\api\list\atServer_getlist\IReceivedDataAtServer_getlist_UseSIdId.validator.ts", "TypeScript", 51, 0, 0, 0, 2, 3, 56
